,age,profession,salary
87,40.0,4,46328.0
88,27.0,2,25525.0
89,46.0,2,27194.0
90,62.0,0,35329.0
91,25.0,4,37874.0
92,27.0,1,38172.0
93,46.0,5,52679.0
94,35.0,3,61955.0
95,60.0,5,59605.0
96,52.0,5,53608.0
97,27.0,2,23181.0
98,59.0,2,28519.0
99,49.0,5,59110.0
100,42.0,5,52281.0
101,32.0,4,34604.0
102,49.0,5,61613.0
103,60.0,3,63364.0
104,22.0,0,19078.0
105,37.0,3,64620.0
106,62.0,2,27117.0
107,37.0,0,35259.0
108,22.0,3,38941.0
109,25.0,3,35523.0
110,51.0,4,50107.0
111,52.0,4,47709.0
112,25.0,1,37203.0
113,30.0,5,54569.0
114,45.0,2,25230.0
115,51.0,2,25235.0
116,27.0,1,40595.0
117,41.0,5,61987.0
118,45.0,2,28664.0
119,22.0,1,31992.0
120,30.0,5,50218.0
121,61.0,5,60555.0
122,60.0,1,57956.0
123,35.0,3,50812.0
124,59.0,5,57364.0
125,48.0,3,64347.0
126,64.0,2,28860.0
127,63.0,3,63367.0
128,48.0,0,39482.0
129,41.0,5,54513.0
130,26.0,3,51577.0
131,44.0,0,40310.0
132,38.0,2,22987.0
133,49.0,2,25934.0
134,24.0,5,48654.0
135,58.0,5,65795.0
136,64.0,1,54695.0
137,29.0,1,48475.0
138,48.0,0,38160.0
139,56.0,3,64055.0
140,45.0,2,27524.0
141,62.0,3,57676.0
142,43.0,1,60544.0
143,32.0,4,37102.0
144,41.0,3,63693.0
145,42.0,5,52799.0
146,31.0,1,46002.0
147,55.0,1,58944.0
148,48.0,3,71176.0
149,37.0,4,41190.0
150,39.0,1,53326.0
151,37.0,3,62864.0
152,40.0,3,62353.0
153,44.0,3,64385.0
154,35.0,3,48829.0
155,57.0,1,57329.0
156,62.0,0,33603.0
157,44.0,1,52799.0
158,52.0,0,32493.0
159,62.0,3,65424.0
160,29.0,3,54759.0
161,29.0,0,31736.0
162,23.0,4,28395.0
163,40.0,4,47565.0
164,35.0,2,22927.0
165,45.0,0,36826.0
166,40.0,0,32300.0
167,29.0,5,56422.0
168,38.0,1,55436.0
169,21.0,5,44796.0
170,44.0,3,62684.0
171,32.0,3,51601.0
172,25.0,5,51581.0
173,23.0,5,45852.0
174,52.0,1,61712.0
175,31.0,5,52733.0
176,50.0,0,35600.0
177,57.0,4,42904.0
178,42.0,2,24689.0
179,26.0,3,50505.0
180,48.0,5,50299.0
181,23.0,2,22606.0
182,57.0,0,38107.0
183,54.0,4,46562.0
184,38.0,0,34335.0
185,32.0,4,31352.0
186,52.0,2,24189.0
187,46.0,2,24969.0
188,27.0,1,41388.0
189,54.0,3,67690.0
190,35.0,1,52348.0
191,60.0,1,56175.0
192,57.0,2,24661.0
193,32.0,4,37449.0
194,31.0,3,49611.0
195,38.0,5,47522.0
196,56.0,1,55773.0
197,26.0,0,22640.0
198,34.0,1,49714.0
199,50.0,0,34545.0
200,22.0,3,31701.0
201,23.0,5,44359.0
202,54.0,2,24486.0
203,44.0,1,56159.0
204,45.0,3,64624.0
205,31.0,4,36244.0
206,44.0,5,48961.0
207,45.0,2,25162.0
208,39.0,2,23635.0
209,63.0,3,62495.0
210,22.0,1,33329.0
211,39.0,0,35981.0
212,59.0,4,50949.0
213,29.0,0,24574.0
214,62.0,4,43666.0
215,39.0,3,64905.0
216,27.0,2,23656.0
217,24.0,2,24277.0
218,35.0,5,50716.0
219,61.0,4,44874.0
220,62.0,0,35215.0
221,45.0,5,55402.0
222,25.0,0,31192.0
223,41.0,4,40642.0
224,39.0,2,21446.0
225,30.0,2,22432.0
226,23.0,3,39593.0
227,37.0,2,26684.0
228,37.0,0,33811.0
229,52.0,0,39129.0
230,38.0,4,46732.0
231,21.0,4,31424.0
232,21.0,2,24289.0
233,51.0,2,28082.0
234,50.0,2,23435.0
235,27.0,5,50849.0
236,59.0,0,36721.0
237,50.0,3,65567.0
238,27.0,1,39324.0
239,33.0,1,48614.0
240,64.0,0,36565.0
241,38.0,2,27151.0
242,31.0,0,28731.0
243,44.0,4,48769.0
244,29.0,1,46561.0
245,56.0,5,65254.0
246,56.0,0,35920.0
247,56.0,2,30271.0
248,48.0,2,25392.0
249,51.0,4,44811.0
250,34.0,1,53121.0
251,60.0,1,51848.0
252,26.0,2,21531.0
253,31.0,5,46119.0
254,65.0,4,46722.0
255,63.0,3,59696.0
256,43.0,5,61654.0
257,42.0,4,44183.0
258,25.0,4,40535.0
259,50.0,2,26521.0
260,21.0,2,21037.0
261,34.0,5,49727.0
262,39.0,5,54083.0
263,60.0,4,44990.0
264,64.0,0,37990.0
265,64.0,0,44552.0
266,56.0,2,29546.0
267,33.0,3,54047.0
268,22.0,3,40945.0
269,39.0,1,54708.0
270,33.0,4,38291.0
271,49.0,5,53433.0
272,37.0,1,53484.0
273,60.0,4,45440.0
274,37.0,0,31949.0
275,37.0,2,25143.0
276,54.0,5,57106.0
277,47.0,1,52817.0
278,31.0,4,37828.0
279,50.0,5,57343.0
280,45.0,2,26441.0
281,25.0,5,56696.0
282,41.0,3,66487.0
283,61.0,3,61106.0
284,30.0,0,30452.0
285,39.0,4,44312.0
286,32.0,1,46597.0
287,44.0,1,55266.0
288,64.0,5,65448.0
289,34.0,2,25357.0
290,57.0,2,25563.0
291,58.0,5,58638.0
292,32.0,1,49258.0
293,55.0,4,46930.0
294,64.0,3,69088.0
295,63.0,0,35380.0
296,47.0,3,59050.0
297,27.0,2,20213.0
298,25.0,4,37328.0
299,32.0,2,22712.0
300,47.0,1,62800.0
301,37.0,1,55830.0
302,51.0,3,67940.0
303,55.0,5,56834.0
304,28.0,2,22700.0
305,61.0,0,38429.0
306,23.0,4,25138.0
307,32.0,1,46048.0
308,57.0,2,27412.0
309,28.0,5,58388.0
310,30.0,0,28744.0
311,64.0,0,37077.0
312,61.0,1,57644.0
313,57.0,2,26977.0
314,28.0,5,45185.0
315,31.0,3,49227.0
316,31.0,4,38111.0
317,29.0,2,23403.0
318,64.0,2,24358.0
319,27.0,2,24592.0
320,54.0,0,41801.0
321,22.0,3,37152.0
322,44.0,1,52758.0
323,23.0,5,47946.0
324,23.0,4,26795.0
325,30.0,5,51123.0
326,62.0,1,58256.0
327,49.0,0,37856.0
328,49.0,2,24856.0
329,33.0,3,52851.0
330,53.0,3,62659.0
331,51.0,3,63100.0
332,41.0,4,42004.0
333,51.0,1,52123.0
334,59.0,1,57980.0
335,63.0,1,56375.0
336,65.0,2,28970.0
337,42.0,3,64105.0
338,21.0,4,30191.0
339,30.0,2,24905.0
340,29.0,2,23082.0
341,34.0,5,53426.0
342,36.0,2,24021.0
343,50.0,0,44773.0
344,44.0,2,25857.0
345,49.0,0,42666.0
346,64.0,2,32191.0
347,22.0,5,43846.0
348,21.0,4,26891.0
349,50.0,5,64891.0
350,45.0,1,60154.0
351,42.0,2,27065.0
352,58.0,5,59004.0
353,27.0,4,40027.0
354,46.0,1,59283.0
355,62.0,5,64653.0
356,40.0,0,36200.0
357,46.0,1,56376.0
358,23.0,3,44792.0
359,36.0,3,69778.0
360,22.0,4,26051.0
361,46.0,4,48168.0
362,47.0,1,61794.0
363,63.0,2,28992.0
364,49.0,4,47274.0
365,20.0,5,51477.0
366,57.0,5,68783.0
367,35.0,5,50793.0
368,52.0,4,46580.0
369,32.0,2,24034.0
370,54.0,4,47098.0
371,62.0,0,39311.0
372,24.0,5,45685.0
373,44.0,5,55470.0
374,44.0,3,61301.0
375,33.0,3,48524.0
376,35.0,3,64579.0
377,50.0,0,37973.0
378,33.0,1,48389.0
379,21.0,4,27015.0
380,55.0,0,37866.0
381,48.0,4,42952.0
382,31.0,1,45917.0
383,63.0,0,40933.0
384,60.0,3,66386.0
385,63.0,1,53778.0
386,43.0,2,25525.0
387,31.0,5,54659.0
388,28.0,4,38054.0
389,63.0,5,64508.0
390,60.0,2,27761.0
391,53.0,2,28206.0
392,43.0,4,43285.0
393,37.0,0,32741.0
394,52.0,5,56447.0
395,20.0,2,23762.0
396,44.0,2,24088.0
397,51.0,3,63027.0
398,54.0,0,36743.0
399,40.0,1,58698.0
400,54.0,0,40031.0
401,24.0,3,36532.0
402,30.0,4,36709.0
403,27.0,0,29674.0
404,35.0,0,29627.0
405,35.0,4,48491.0
406,37.0,2,25409.0
407,41.0,5,56426.0
408,40.0,3,62126.0
409,42.0,4,46218.0
410,54.0,2,25513.0
411,26.0,1,35908.0
412,36.0,4,48479.0
413,20.0,3,35760.0
414,21.0,3,35614.0
415,47.0,2,23841.0
416,59.0,3,58638.0
417,34.0,2,25080.0
418,38.0,5,55865.0
419,29.0,4,37675.0
420,26.0,2,24218.0
421,60.0,5,64379.0
422,46.0,0,41396.0
423,52.0,4,45142.0
424,60.0,2,23647.0
425,46.0,1,57594.0
426,28.0,4,37728.0
427,52.0,3,70897.0
428,54.0,0,36382.0
429,39.0,1,52258.0
430,48.0,2,24702.0
431,42.0,3,62496.0
432,35.0,4,36217.0
433,50.0,2,25663.0
434,31.0,4,37026.0
435,35.0,4,37053.0
436,38.0,2,21790.0
437,48.0,5,60104.0
438,58.0,5,64037.0
439,48.0,1,60736.0
440,53.0,3,62987.0
441,33.0,5,62153.0
442,46.0,3,63146.0
443,25.0,4,23160.0
444,41.0,4,42132.0
445,51.0,3,62832.0
446,28.0,2,24708.0
447,61.0,3,58129.0
448,39.0,4,45311.0
449,50.0,1,62509.0
450,41.0,5,58062.0
451,53.0,1,56577.0
452,46.0,2,25416.0
453,26.0,0,25951.0
454,62.0,5,61674.0
455,50.0,4,46499.0
456,41.0,0,41569.0
457,50.0,1,58950.0
458,32.0,3,52676.0
459,55.0,2,26196.0
460,39.0,0,38932.0
461,56.0,5,60052.0
462,32.0,2,25694.0
463,56.0,4,47372.0
464,61.0,4,45607.0
465,64.0,1,57113.0
466,55.0,2,28118.0
467,52.0,4,47132.0
468,43.0,4,42176.0
469,25.0,1,37942.0
470,45.0,1,52775.0
471,45.0,4,48878.0
472,23.0,2,22883.0
473,51.0,0,40138.0
474,27.0,2,21341.0
475,47.0,0,44867.0
476,41.0,3,64530.0
477,59.0,5,61747.0
478,30.0,0,33336.0
479,28.0,1,42289.0
480,45.0,3,57026.0
481,41.0,0,40032.0
482,27.0,3,47435.0
483,48.0,1,55955.0
484,61.0,3,60274.0
485,53.0,2,28020.0
486,29.0,5,48848.0
487,31.0,5,46207.0
488,45.0,5,51774.0
489,50.0,0,37218.0
490,64.0,5,68238.0
491,25.0,0,27961.0
492,45.0,1,59535.0
493,64.0,5,63067.0
494,25.0,5,45887.0
495,64.0,1,58969.0
496,41.0,5,54928.0
497,52.0,0,39905.0
498,39.0,2,25447.0
499,58.0,0,38797.0
500,61.0,3,55884.0
501,27.0,5,48188.0
502,54.0,3,68131.0
503,21.0,3,35601.0
504,32.0,1,50098.0
505,45.0,3,64205.0
506,47.0,1,56199.0
507,36.0,3,61723.0
508,32.0,0,31720.0
509,28.0,3,47857.0
510,31.0,2,23497.0
511,26.0,4,38165.0
512,32.0,5,51152.0
513,57.0,5,65165.0
514,33.0,2,20435.0
515,61.0,3,58484.0
516,31.0,3,57347.0
517,42.0,5,62104.0
518,28.0,4,36634.0
519,21.0,0,19916.0
520,48.0,4,49462.0
521,35.0,2,25708.0
522,36.0,5,51714.0
523,38.0,3,63172.0
524,55.0,2,26157.0
525,38.0,1,53879.0
526,24.0,5,50590.0
527,33.0,0,22165.0
528,46.0,0,38773.0
529,65.0,0,40339.0
530,26.0,3,51307.0
531,35.0,1,51123.0
532,42.0,3,63410.0
533,63.0,4,45591.0
534,25.0,1,38753.0
535,56.0,0,41323.0
536,53.0,2,24128.0
537,34.0,3,50266.0
538,55.0,4,45525.0
539,46.0,0,41791.0
540,28.0,5,46106.0
541,33.0,3,51084.0
542,35.0,2,21718.0
543,35.0,1,48295.0
544,54.0,5,57788.0
545,50.0,0,36250.0
546,57.0,2,28387.0
547,43.0,2,25676.0
548,36.0,3,62131.0
549,23.0,1,35077.0
550,56.0,5,62792.0
551,23.0,2,23411.0
552,34.0,4,39488.0
553,50.0,3,71329.0
554,54.0,1,52046.0
555,23.0,5,52672.0
556,47.0,2,26310.0
557,26.0,3,47160.0
558,54.0,3,69164.0
559,53.0,3,68288.0
560,54.0,3,65543.0
561,23.0,3,40215.0
562,45.0,4,45687.0
563,31.0,2,24982.0
564,42.0,4,46329.0
565,65.0,3,62228.0
566,24.0,5,42722.0
567,47.0,3,66270.0
568,27.0,3,50203.0
569,43.0,2,27208.0
570,43.0,2,24694.0
571,41.0,4,44274.0
572,49.0,3,65334.0
573,64.0,2,27724.0
574,56.0,4,44268.0
575,63.0,0,35002.0
576,29.0,0,26024.0
577,65.0,3,61092.0
578,34.0,2,24833.0
579,22.0,4,24318.0
580,40.0,3,61209.0
581,31.0,4,33249.0
582,54.0,1,61014.0
583,24.0,1,36503.0
584,45.0,1,57714.0
585,33.0,3,50263.0
586,29.0,4,36326.0
587,59.0,5,60892.0
588,43.0,1,58155.0
589,35.0,0,33447.0
590,54.0,5,60453.0
591,58.0,3,66305.0
592,40.0,2,25451.0
593,28.0,1,44027.0
594,65.0,5,60846.0
595,36.0,4,44287.0
596,29.0,1,43354.0
597,25.0,1,41970.0
598,26.0,5,43437.0
599,62.0,4,38692.0
600,63.0,4,46155.0
601,43.0,0,35458.0
602,51.0,3,57999.0
603,57.0,0,37260.0
604,45.0,2,26098.0
605,50.0,0,37194.0
606,64.0,1,52961.0
607,28.0,1,42332.0
608,26.0,1,38704.0
609,54.0,5,58875.0
610,52.0,2,25969.0
611,28.0,0,27700.0
612,34.0,5,50563.0
613,51.0,0,37685.0
614,42.0,0,36879.0
615,60.0,5,64823.0
616,58.0,2,30017.0
617,42.0,2,25026.0
618,50.0,1,61298.0
619,49.0,3,67093.0
620,24.0,2,25183.0
621,39.0,0,38323.0
622,40.0,5,52520.0
623,60.0,5,59022.0
624,60.0,1,54970.0
625,23.0,3,34676.0
626,58.0,2,27828.0
627,48.0,0,41185.0
628,21.0,2,21192.0
629,37.0,3,66223.0
630,60.0,0,35087.0
631,36.0,2,24427.0
632,50.0,1,60068.0
633,45.0,2,24944.0
634,47.0,3,66325.0
635,42.0,2,23118.0
636,42.0,4,44044.0
637,61.0,3,59001.0
638,39.0,4,45309.0
639,29.0,3,51944.0
640,39.0,4,45174.0
641,53.0,0,40252.0
642,41.0,5,60110.0
643,53.0,4,47260.0
644,31.0,1,40881.0
645,46.0,0,39954.0
646,59.0,0,40310.0
647,44.0,4,42719.0
648,49.0,2,25946.0
649,51.0,1,58214.0
650,53.0,1,56963.0
651,36.0,2,22483.0
652,48.0,0,54195.0
653,39.0,3,58067.0
654,38.0,0,40437.0
655,41.0,3,55813.0
656,38.0,0,38211.0
657,21.0,4,24453.0
658,53.0,1,59891.0
659,46.0,3,62603.0
660,26.0,2,22367.0
661,32.0,5,52659.0
662,47.0,4,50692.0
663,43.0,5,64154.0
664,53.0,4,49162.0
665,42.0,5,60633.0
666,58.0,1,54828.0
667,23.0,1,33806.0
668,48.0,4,46895.0
669,37.0,0,43347.0
670,34.0,1,43898.0
671,62.0,4,43682.0
672,59.0,2,28704.0
673,28.0,1,40087.0
674,23.0,1,33367.0
675,59.0,4,47211.0
676,28.0,2,22926.0
677,62.0,0,37762.0
678,32.0,3,55533.0
679,39.0,4,49154.0
680,22.0,0,15841.0
681,44.0,0,45001.0
682,28.0,3,50715.0
683,39.0,5,59354.0
684,61.0,0,29161.0
685,31.0,3,49890.0
686,49.0,4,45735.0
687,29.0,0,25052.0
688,47.0,1,53303.0
689,33.0,3,54159.0
690,51.0,3,65156.0
691,55.0,3,67546.0
692,60.0,1,55243.0
693,61.0,5,63278.0
694,31.0,2,24701.0
695,26.0,3,49555.0
696,22.0,3,40307.0
697,52.0,3,69041.0
698,28.0,1,43350.0
699,56.0,1,60479.0
700,63.0,0,31694.0
701,27.0,4,34679.0
702,33.0,1,44778.0
703,44.0,0,40220.0
704,39.0,0,39070.0
705,39.0,5,58051.0
706,30.0,2,26240.0
707,60.0,3,58474.0
708,51.0,3,62128.0
709,27.0,5,47277.0
710,20.0,5,52670.0
711,54.0,4,49813.0
712,21.0,5,43832.0
713,60.0,1,59462.0
714,44.0,2,25631.0
715,62.0,1,49950.0
716,55.0,4,47671.0
717,60.0,1,55255.0
718,53.0,4,49406.0
719,46.0,1,51500.0
720,28.0,4,36605.0
721,53.0,0,36144.0
722,47.0,4,50897.0
723,40.0,4,47622.0
724,45.0,3,66712.0
725,30.0,3,51943.0
726,38.0,2,24930.0
727,26.0,3,50269.0
728,38.0,3,66219.0
729,41.0,2,24960.0
730,59.0,3,64368.0
731,44.0,0,39167.0
732,61.0,2,25124.0
733,64.0,2,27568.0
734,22.0,5,47805.0
735,47.0,1,54875.0
736,33.0,5,56288.0
737,58.0,5,60860.0
738,42.0,4,44518.0
739,24.0,4,30290.0
740,30.0,1,46931.0
741,50.0,0,39577.0
742,24.0,4,25095.0
743,37.0,4,44586.0
744,59.0,4,41149.0
745,21.0,3,35484.0
746,51.0,5,59144.0
747,50.0,0,35749.0
748,34.0,0,27375.0
749,25.0,0,23735.0
750,25.0,1,37176.0
751,64.0,0,38655.0
752,50.0,0,38816.0
753,37.0,4,44461.0
754,58.0,0,29406.0
755,25.0,4,25644.0
756,26.0,3,49677.0
757,29.0,3,52724.0
758,54.0,0,38803.0
759,38.0,0,40491.0
760,49.0,0,37601.0
761,30.0,1,41225.0
762,55.0,5,55458.0
763,56.0,2,25816.0
764,39.0,1,51521.0
765,29.0,1,45355.0
766,48.0,2,25867.0
767,32.0,3,54614.0
768,27.0,4,39178.0
769,48.0,0,34095.0
770,43.0,4,46640.0
771,55.0,0,43362.0
772,33.0,1,47241.0
773,30.0,3,46968.0
774,49.0,0,43406.0
775,52.0,1,55700.0
776,39.0,3,70215.0
777,40.0,4,46893.0
778,26.0,0,24997.0
779,41.0,4,47573.0
780,63.0,2,27947.0
781,25.0,3,44545.0
782,46.0,1,61935.0
783,21.0,5,47709.0
784,35.0,4,35859.0
785,54.0,3,58797.0
786,46.0,1,56955.0
787,24.0,4,26020.0
788,40.0,2,26100.0
789,24.0,3,37412.0
790,37.0,3,67127.0
791,55.0,4,44692.0
792,32.0,5,49549.0
793,40.0,2,28294.0
794,43.0,0,42116.0
795,58.0,2,29493.0
796,25.0,2,26526.0
797,45.0,2,24558.0
798,21.0,2,23780.0
799,24.0,3,36770.0
800,30.0,3,47222.0
801,52.0,2,25727.0
802,22.0,3,31393.0
803,63.0,5,65845.0
804,39.0,3,65650.0
805,58.0,3,63521.0
806,30.0,1,48881.0
807,35.0,2,26938.0
808,53.0,0,35785.0
809,37.0,3,64947.0
810,43.0,0,43188.0
811,56.0,4,46719.0
812,49.0,5,62411.0
813,58.0,4,40806.0
814,24.0,0,20838.0
815,47.0,3,64189.0
816,47.0,2,26859.0
817,47.0,0,37481.0
818,46.0,4,44617.0
819,53.0,5,64823.0
820,58.0,2,28478.0
821,30.0,5,48965.0
822,25.0,0,33328.0
823,23.0,5,44427.0
824,27.0,4,34907.0
825,50.0,4,49599.0
826,39.0,3,60319.0
827,36.0,0,34334.0
828,61.0,2,24719.0
829,61.0,5,66402.0
830,44.0,2,28039.0
831,41.0,0,34157.0
832,32.0,2,23159.0
833,41.0,0,38619.0
834,38.0,2,24614.0
835,20.0,3,33534.0
836,54.0,0,36983.0
837,40.0,2,25068.0
838,30.0,3,50199.0
839,50.0,4,47492.0
840,40.0,0,42581.0
841,34.0,3,49265.0
842,30.0,3,46304.0
843,23.0,0,25130.0
844,43.0,0,36899.0
845,37.0,3,63719.0
846,22.0,5,43215.0
847,57.0,5,55990.0
848,56.0,4,44748.0
849,42.0,5,58538.0
850,58.0,3,63243.0
851,42.0,0,38786.0
852,28.0,3,53587.0
853,43.0,2,24555.0
854,34.0,1,47950.0
855,40.0,0,34798.0
856,64.0,0,39433.0
857,36.0,4,49915.0
858,30.0,1,48836.0
859,26.0,3,49605.0
860,60.0,1,53908.0
861,21.0,2,23055.0
862,61.0,2,27339.0
863,23.0,1,33708.0
864,54.0,2,27065.0
865,33.0,4,34874.0
866,31.0,3,52394.0
867,28.0,4,41354.0
868,26.0,5,56623.0
869,23.0,2,24637.0
870,27.0,4,35022.0
871,46.0,0,38774.0
872,46.0,3,66036.0
873,33.0,2,26290.0
874,51.0,0,43108.0
875,55.0,5,60844.0
876,64.0,4,44846.0
877,40.0,3,67317.0
878,37.0,4,45069.0
879,64.0,4,43824.0
880,62.0,4,49044.0
881,62.0,1,58558.0
882,47.0,2,28311.0
883,48.0,2,25199.0
884,62.0,5,65652.0
885,42.0,0,37366.0
886,30.0,5,57064.0
887,64.0,2,26623.0
888,58.0,4,42404.0
889,23.0,1,36061.0
890,25.0,5,50470.0
891,60.0,3,62324.0
892,34.0,5,59367.0
893,51.0,2,25761.0
894,25.0,5,47666.0
895,28.0,5,50541.0
896,54.0,0,38472.0
897,64.0,2,29213.0
898,43.0,2,24252.0
899,22.0,1,31311.0
900,31.0,5,55574.0
901,30.0,0,26835.0
902,62.0,1,53565.0
903,39.0,1,53080.0
904,63.0,2,29090.0
905,59.0,4,46434.0
906,40.0,0,36285.0
907,21.0,3,35128.0
908,64.0,2,26899.0
909,20.0,3,40150.0
910,59.0,0,39027.0
911,39.0,5,49839.0
912,34.0,3,48624.0
913,38.0,1,57118.0
914,36.0,4,46854.0
915,51.0,2,26264.0
916,46.0,2,25582.0
917,32.0,1,46453.0
918,44.0,2,29048.0
919,38.0,1,54683.0
920,61.0,4,47064.0
921,60.0,2,25742.0
922,48.0,0,41861.0
923,63.0,4,45325.0
924,37.0,5,52839.0
925,24.0,5,50702.0
926,22.0,2,18360.0
927,58.0,1,60419.0
928,37.0,1,53058.0
929,59.0,2,26661.0
930,41.0,0,44348.0
931,21.0,5,48229.0
932,44.0,1,54297.0
933,47.0,4,51425.0
934,40.0,2,26245.0
935,58.0,4,44045.0
936,49.0,5,59319.0
937,36.0,2,26439.0
938,52.0,5,67225.0
939,34.0,2,24715.0
940,58.0,1,55564.0
941,33.0,4,37182.0
942,50.0,0,44168.0
943,39.0,0,36373.0
944,25.0,2,24593.0
945,48.0,3,64158.0
946,37.0,2,27787.0
947,49.0,0,34284.0
948,44.0,3,64255.0
949,22.0,3,34853.0
950,29.0,1,44199.0
951,52.0,3,61996.0
952,41.0,2,27190.0
953,41.0,0,38350.0
954,20.0,4,28321.0
955,34.0,2,23602.0
956,50.0,5,67011.0
957,60.0,1,50468.0
958,46.0,0,37520.0
959,44.0,4,43621.0
960,41.0,5,56186.0
961,51.0,5,58897.0
962,56.0,5,55247.0
963,30.0,1,39491.0
964,52.0,4,49622.0
965,31.0,0,32512.0
966,21.0,2,20881.0
967,23.0,5,41571.0
968,22.0,3,36825.0
969,33.0,5,50596.0
970,26.0,5,47548.0
971,24.0,4,25766.0
972,27.0,4,35222.0
973,22.0,2,23753.0
974,35.0,3,63044.0
975,57.0,0,41935.0
976,45.0,3,61748.0
977,23.0,5,43501.0
978,37.0,0,39289.0
979,39.0,2,23963.0
980,28.0,5,52908.0
981,37.0,2,24484.0
982,35.0,3,58987.0
983,42.0,4,49748.0
984,51.0,4,45956.0
985,42.0,4,45414.0
986,23.0,0,22731.0
987,22.0,0,22626.0
988,60.0,4,46579.0
989,51.0,5,61218.0
990,50.0,1,60606.0
991,61.0,3,62182.0
992,44.0,0,42014.0
993,23.0,1,33060.0
994,52.0,2,29026.0
995,27.0,0,31967.0
996,50.0,3,63423.0
997,38.0,3,66448.0
998,21.0,0,15850.0
999,22.0,3,43076.0
1000,38.0,2,26993.0
1001,47.0,0,38160.0
1002,28.0,1,39974.0
1003,25.0,3,34220.0
1004,37.0,4,44826.0
1005,56.0,2,24612.0
1006,55.0,3,60630.0
1007,51.0,2,26351.0
1008,39.0,5,57121.0
1009,40.0,5,56823.0
1010,30.0,2,24715.0
1011,26.0,1,40419.0
1012,21.0,3,38324.0
1013,59.0,5,58343.0
1014,42.0,3,67583.0
1015,20.0,2,19285.0
1016,44.0,4,41838.0
1017,32.0,1,48194.0
1018,39.0,1,52706.0
1019,50.0,0,43119.0
1020,56.0,5,57778.0
1021,52.0,5,55777.0
1022,60.0,5,57386.0
1023,31.0,0,29776.0
1024,50.0,5,52246.0
1025,60.0,1,53260.0
1026,34.0,5,51851.0
1027,56.0,2,23352.0
1028,62.0,1,54848.0
1029,49.0,3,63133.0
1030,27.0,4,38328.0
1031,32.0,2,22445.0
1032,51.0,4,49508.0
1033,59.0,0,35431.0
1034,21.0,5,46101.0
1035,35.0,3,51311.0
1036,31.0,3,53611.0
1037,39.0,5,57080.0
1038,55.0,0,40866.0
1039,43.0,5,49934.0
1040,43.0,1,55010.0
1041,47.0,5,60808.0
1042,43.0,4,46953.0
1043,51.0,2,25666.0
1044,25.0,0,19174.0
1045,21.0,0,13809.0
1046,57.0,0,37588.0
1047,42.0,0,39693.0
1048,33.0,3,50315.0
1049,40.0,5,54617.0
1050,49.0,4,48997.0
1051,25.0,4,36035.0
1052,44.0,5,54688.0
1053,25.0,3,30196.0
1054,59.0,0,34686.0
1055,45.0,2,25914.0
1056,56.0,4,44171.0
1057,52.0,2,26115.0
1058,57.0,1,56086.0
1059,35.0,2,22356.0
1060,26.0,4,33280.0
1061,60.0,2,31758.0
1062,60.0,2,26000.0
1063,60.0,2,26692.0
1064,65.0,2,26532.0
1065,47.0,1,57959.0
1066,43.0,1,57351.0
1067,56.0,0,38137.0
1068,25.0,4,28576.0
1069,55.0,1,56730.0
