,age,edu_lvl,salary
102,32.0,2,49342.0731874836
103,64.0,2,61821.042735669536
104,55.0,0,51572.735602081244
105,52.0,2,62110.85515736493
106,40.0,0,50821.14177422031
107,32.0,2,49491.544084753055
108,24.0,1,35275.57663716863
109,61.0,0,50316.345130275426
110,41.0,0,51329.64075926124
111,29.0,2,45457.087401902645
112,34.0,1,47854.976562052565
113,46.0,1,56611.86159922507
114,28.0,2,43132.70008208029
115,59.0,1,56929.81462947399
116,54.0,0,51530.591637500685
117,52.0,2,62602.25970484977
118,39.0,1,54498.61747134026
119,48.0,0,53035.10741693426
120,46.0,2,61390.33486115697
121,49.0,2,62271.6934510233
122,24.0,0,31560.473118635786
123,39.0,1,53983.65898491043
124,22.0,2,33124.114269057725
125,42.0,2,59017.61533013795
126,35.0,0,45746.21044384468
127,27.0,2,41268.39239547096
128,25.0,0,32748.6763541954
129,46.0,1,56551.91128444439
130,28.0,1,40324.39619685925
131,62.0,0,49982.924454775326
132,46.0,2,61769.03388513895
133,36.0,0,45953.36227347531
134,47.0,2,62323.82022042509
135,21.0,2,31568.68241710303
136,63.0,1,56163.072697803225
137,42.0,1,55489.83179887655
138,55.0,0,50592.371168864825
139,24.0,2,36009.79450002329
140,42.0,2,59402.73077088213
141,42.0,1,56017.313595546846
142,62.0,0,49147.182289962875
143,46.0,1,56004.07187571031
144,41.0,2,59539.88348678616
145,32.0,2,49653.114030853714
146,35.0,0,46141.965318830604
147,43.0,2,59708.58778206486
148,40.0,0,49952.02003363143
149,21.0,1,29651.306127049993
150,57.0,1,57498.24831189526
151,60.0,0,50229.17877247531
152,26.0,0,35017.42996499963
153,45.0,2,60511.12909950761
154,25.0,1,36184.95437007447
155,50.0,2,62383.42842161169
156,33.0,1,47624.66912078832
157,50.0,1,57880.98999998604
158,53.0,0,52049.21750452018
159,55.0,1,56063.92483655587
160,25.0,2,38067.77246560503
161,61.0,0,49859.82892746946
162,30.0,1,44022.2845584726
163,22.0,1,30812.32718837521
164,45.0,2,60844.64743343348
165,37.0,0,46854.46533973213
166,57.0,0,51434.19134283886
167,56.0,0,51233.798604584445
168,34.0,0,45450.07088377649
169,63.0,2,62584.365889620414
170,33.0,0,43707.81785663525
171,43.0,1,56423.8455485147
172,32.0,0,42447.532296998535
173,62.0,2,63044.077548063135
174,27.0,1,39491.21825522502
175,22.0,1,32069.626197672802
176,40.0,2,58043.24922798027
177,65.0,0,50377.32052854899
178,60.0,2,62011.53542016084
179,54.0,1,57659.55727267142
180,60.0,1,56301.670470247016
181,60.0,0,50795.98155591212
182,43.0,0,51482.0313990457
183,34.0,2,51514.55361118146
184,55.0,2,61101.58492134379
185,50.0,2,63674.956542988686
186,37.0,0,47851.10991212446
187,24.0,2,35946.56839898045
188,54.0,0,51930.19780109122
189,32.0,2,49517.6611880996
190,62.0,1,55711.14125343899
191,31.0,2,47658.23378135517
192,26.0,0,34425.43594897142
193,57.0,2,63101.29711538109
194,27.0,1,39189.857715271675
195,28.0,1,41703.36171062518
196,47.0,1,57308.66599087461
197,59.0,2,62385.60761286825
198,29.0,1,41396.71538661417
199,34.0,1,48247.686389156515
200,55.0,1,57264.91942811221
201,64.0,0,49410.289986366675
202,43.0,2,60203.886098532545
203,26.0,2,41557.356012752
204,21.0,1,28998.601143606524
205,30.0,2,47263.761342912025
206,26.0,0,35293.54144473973
207,50.0,0,53518.81405324875
208,25.0,2,38725.831400137664
209,43.0,2,60218.340156470695
210,51.0,2,63416.001642527866
211,46.0,0,51335.242114198874
212,29.0,1,42918.066821290355
213,56.0,2,63067.35862228331
214,52.0,0,51322.91275600335
215,53.0,2,62856.180857209096
216,26.0,2,40027.00674955126
217,26.0,0,34470.86147600115
218,62.0,1,55989.45967833159
219,38.0,2,57125.5670122641
220,34.0,2,51195.168845971035
221,42.0,2,59463.54194696133
222,50.0,2,62216.923594355314
223,63.0,2,62029.20036534409
224,33.0,2,49928.3284916657
225,62.0,2,62102.29503931114
226,21.0,0,27603.149678807767
227,45.0,1,56448.168686168035
228,49.0,1,57734.23953533361
229,25.0,1,35919.58974753232
230,26.0,0,35358.51187475313
231,39.0,2,57126.65324617293
232,63.0,2,62299.199835758984
233,47.0,1,56646.79333350778
234,62.0,2,62259.23688079196
235,56.0,0,51392.01651805731
236,41.0,2,59620.95476511821
237,55.0,0,51571.99656879855
238,21.0,2,31057.770277885113
239,25.0,1,35627.29420329593
240,57.0,1,56461.17884858967
241,56.0,2,62924.12991256271
242,30.0,0,41257.04026929115
243,44.0,2,59686.59965571636
244,47.0,1,57397.46532363124
245,59.0,2,62028.81075388459
246,47.0,1,56802.57907196417
247,39.0,0,49811.30215992034
248,37.0,1,51523.71933642443
249,39.0,1,52842.09432763297
250,49.0,2,62463.157651187954
251,59.0,1,57259.523782177246
252,40.0,1,55499.606037358295
253,31.0,0,41090.78334181338
254,31.0,0,42713.4284963925
255,54.0,1,56480.00996293734
256,57.0,1,56286.230834770126
257,25.0,1,36146.376759817795
258,23.0,0,30952.638617821252
259,47.0,2,61402.49775678402
260,27.0,2,41011.62352668748
261,57.0,0,51743.450650007835
262,34.0,0,44945.397401492526
263,26.0,2,40340.81980135675
264,61.0,2,62971.78284879571
265,27.0,2,42857.855034962784
266,33.0,1,47651.1474293718
267,27.0,2,42140.61228446564
268,25.0,2,40190.899481337794
269,21.0,0,27092.411726574643
270,22.0,1,32244.514250596145
271,28.0,0,38219.585737079506
272,22.0,2,34154.65141647081
273,47.0,2,61711.83395816294
274,51.0,0,50899.862725810606
275,38.0,0,48676.97892952843
276,34.0,0,45258.10312850899
277,43.0,0,51335.944493155985
278,59.0,0,50186.492045634295
279,58.0,2,62953.061419273145
280,22.0,1,30976.975883750507
281,28.0,2,44045.85125310863
282,31.0,1,44700.28929981042
283,31.0,2,48717.11119886633
284,46.0,2,61712.394664400614
285,39.0,0,49829.36108425033
286,22.0,0,29916.58366295382
287,37.0,1,51566.334939668595
288,44.0,1,55639.21657611017
289,25.0,2,37887.947282832065
290,58.0,0,50857.10182519156
291,22.0,0,29996.585938723667
292,62.0,1,56229.74919997203
293,24.0,0,32477.668386324112
294,58.0,2,62389.0188679434
295,61.0,0,49551.224207439125
296,64.0,2,61999.630343035125
297,56.0,1,56891.53647272095
298,55.0,2,63404.22410019297
299,49.0,0,53010.988143392184
300,55.0,2,61982.96270117681
301,26.0,2,40525.63367398525
302,44.0,1,56140.42056147196
303,43.0,0,51355.785697402905
304,59.0,0,50698.506440456375
305,41.0,0,50946.92084611014
306,37.0,1,52998.28430040915
307,49.0,2,61865.02939526751
308,32.0,1,46360.40278809151
309,26.0,2,39551.449088015506
310,42.0,2,59938.35125757393
311,39.0,2,58104.15330775001
312,30.0,2,47032.76177400887
313,37.0,2,54589.69437117269
314,36.0,2,55010.944050680555
315,35.0,0,45747.03074577077
316,37.0,1,52016.65674174259
317,51.0,1,57270.53441316086
318,33.0,2,51962.96232037516
319,63.0,0,49355.5479232734
320,61.0,2,63722.22126860231
321,42.0,1,56031.20427705045
322,35.0,2,53147.56271394536
323,44.0,2,59912.859122643895
324,58.0,1,57136.31899236618
325,49.0,2,62580.21982916191
326,56.0,0,50200.668347139836
327,44.0,0,50893.575209833136
328,48.0,1,57299.137292468484
329,33.0,1,47197.05304119895
330,53.0,0,51627.72243443197
331,29.0,2,46053.15241498994
332,51.0,0,51804.92719642386
333,59.0,1,56399.143721025444
334,26.0,0,34728.605701226756
335,48.0,0,52402.14787759782
336,24.0,0,31749.92361659851
337,53.0,1,56985.44374685337
338,24.0,2,35808.942134766
339,62.0,0,49708.374655920605
340,26.0,2,41000.45259104726
341,63.0,1,56240.526034441835
342,56.0,2,62136.20083361626
343,47.0,1,56945.583526704446
344,55.0,1,56885.60981804457
345,56.0,1,57602.52571111532
346,63.0,2,62177.89678658504
347,31.0,1,44055.95233389815
348,47.0,2,61741.035856248855
349,24.0,1,34804.75216200408
350,48.0,0,52022.0184990881
351,28.0,0,37806.52113957764
352,45.0,1,55643.34042252761
353,46.0,0,51901.23275716781
354,41.0,0,51412.648280066045
355,44.0,1,56061.63956925417
356,54.0,0,51325.22386442399
357,56.0,2,62995.96598176062
358,42.0,2,59252.66517069003
359,47.0,2,61130.835887791975
360,62.0,1,56050.87316102552
361,25.0,0,34383.484354043365
362,25.0,2,38953.829116663626
363,24.0,1,35131.1121225433
364,50.0,1,57548.60506350652
365,39.0,1,53758.939870973714
366,55.0,0,51661.17533428499
367,50.0,1,57845.911605592184
368,35.0,1,49635.4564838183
369,60.0,2,61552.59212029855
370,54.0,1,57613.3597701965
371,32.0,2,49668.724413187534
372,36.0,2,55008.79536330179
373,34.0,0,44946.827346175254
374,27.0,0,35822.34386953985
375,27.0,1,37612.60628762068
376,62.0,2,61815.24252013027
377,40.0,1,54934.896959767066
378,37.0,0,48898.337502465576
379,53.0,1,57367.399923589765
380,45.0,2,60183.5270730461
381,62.0,0,49470.048105858936
382,55.0,1,57669.03482673333
383,42.0,1,54737.5171611303
384,37.0,1,52680.68037805808
385,64.0,0,50118.492906433974
386,52.0,2,63567.36103493495
387,63.0,2,62409.97477372494
388,25.0,1,36515.310618335505
389,58.0,1,56850.77157671725
390,49.0,1,57621.373670427056
391,25.0,0,34054.776150555605
392,46.0,0,51420.13988087916
393,51.0,2,62358.031752984665
394,21.0,0,26153.6165378776
395,40.0,2,59775.95113833268
396,57.0,1,56477.4874427519
397,33.0,1,47668.09248783112
398,41.0,0,51586.71981244414
399,40.0,2,59524.88401683915
400,34.0,1,48049.68551733069
401,61.0,2,62559.15958848663
402,55.0,2,61991.50468624826
403,25.0,0,34143.69678253858
404,65.0,2,62645.105660879555
405,60.0,1,55608.42335440559
406,33.0,0,44657.35261414957
407,58.0,1,56383.635658090614
408,25.0,1,36133.22577433346
409,65.0,1,55546.83828813979
410,50.0,0,52463.18404566384
411,49.0,2,62136.21000591262
412,24.0,0,31806.139648274315
413,60.0,1,56688.61341525437
414,21.0,2,31993.48900637549
415,31.0,0,41182.55145118942
416,26.0,1,37898.873188356585
417,55.0,1,56358.321135039325
418,29.0,2,44936.35509914967
419,61.0,2,62644.6776321272
420,50.0,2,61980.67834410853
421,22.0,1,31099.0253707257
422,20.0,1,27954.769299722062
423,22.0,0,29543.486455786784
424,47.0,2,61551.704263099746
425,56.0,0,51984.241168143424
426,31.0,1,44122.695275084574
427,58.0,2,63328.183485709575
428,23.0,2,35105.808899290176
429,56.0,0,51280.497069706216
430,62.0,2,62916.433406609794
431,55.0,1,56864.275777993134
432,51.0,1,57501.29565975961
433,58.0,0,50687.47077833069
434,22.0,2,33612.25879718711
435,29.0,1,42205.3443364089
436,26.0,0,34552.6122730049
437,43.0,0,51745.15359296526
438,54.0,2,63024.094820744096
439,48.0,0,51842.00243000625
440,58.0,1,57046.47916863147
441,27.0,2,41483.315225852064
442,53.0,2,61424.83458719554
443,29.0,0,38700.03990706561
444,32.0,0,43601.473797339175
445,52.0,0,52104.74928497934
446,64.0,2,61821.57948207783
447,48.0,1,56907.60472898754
448,22.0,2,34417.28342628924
449,48.0,0,52471.034821443005
450,22.0,2,32518.899683977605
451,60.0,0,50491.51211928139
452,52.0,0,52175.93406986517
453,28.0,1,39856.16142419269
454,24.0,1,34110.12303332198
455,28.0,1,41090.071759904626
456,64.0,0,49273.89521765346
457,41.0,1,55164.83024018578
458,55.0,1,56693.46149179204
459,49.0,2,61724.76409171392
460,46.0,2,60817.9189511089
461,27.0,1,38714.27716789371
462,63.0,2,62865.200462385226
463,34.0,1,46806.26186625647
464,46.0,1,56814.194738485756
465,51.0,2,62444.42416940326
466,49.0,1,57566.73413705914
467,62.0,1,56627.42198137082
468,27.0,1,38420.71908478914
469,43.0,2,60478.707969487965
470,38.0,2,56190.83566783739
471,41.0,1,55398.197823063085
472,25.0,0,34080.431677716486
473,26.0,1,37810.14306336697
474,33.0,1,46270.22237374749
475,34.0,2,51672.49033110999
476,39.0,2,58899.91717155029
477,47.0,0,51638.23750708905
478,49.0,2,62090.23136016925
479,39.0,2,57665.7249761603
480,38.0,2,56925.91754506693
481,30.0,1,44356.34092624749
482,46.0,0,51756.22300605145
483,34.0,1,48635.377758603885
484,22.0,2,32268.30370802764
485,39.0,1,53774.09736429948
486,41.0,2,59469.101105419664
487,30.0,0,41469.629691611924
488,46.0,2,60698.10942646218
489,45.0,0,51477.96251564018
490,52.0,2,62731.24605894999
491,49.0,2,62903.78383970634
492,49.0,2,62590.325764021734
493,34.0,1,49576.30663959571
494,55.0,1,57234.20873667418
495,45.0,2,60908.670469622135
496,39.0,0,50753.46522343001
497,48.0,0,52969.66962424172
498,36.0,0,47848.36508332004
499,43.0,0,50918.550784541236
500,53.0,1,57585.115345635044
501,60.0,1,56643.865262642576
502,61.0,1,56113.46771639881
503,43.0,0,50513.05766725721
504,43.0,1,55083.01458570126
505,56.0,1,56718.349541506184
506,34.0,0,44417.98537427168
507,58.0,2,62328.12159062304
508,42.0,2,60139.9015590304
509,25.0,2,38732.10949675039
510,23.0,0,31130.968341523232
511,58.0,1,56176.05457118288
512,23.0,2,34650.3107438346
513,33.0,1,47144.333784350754
514,35.0,0,45324.384694062486
515,28.0,1,40153.4985710417
516,34.0,0,44491.616507385836
517,53.0,1,57412.49084814604
518,21.0,1,28878.259116655627
519,57.0,2,62475.14410288221
520,59.0,2,62435.859230929345
521,37.0,1,51588.365590697926
522,27.0,1,39334.46846311379
523,47.0,0,51807.884006722525
524,25.0,2,38990.9766212652
525,36.0,0,47391.873651002934
526,63.0,2,62092.20123694575
527,65.0,2,63050.75098589829
528,55.0,2,62308.05266381445
529,34.0,2,51936.75419177856
530,51.0,0,52543.97780164674
531,52.0,2,63200.2621453071
532,37.0,1,51792.5716147276
533,49.0,1,57879.82105366513
534,20.0,2,30436.618171230322
535,29.0,1,44322.570879614555
536,44.0,1,56088.544517994764
537,27.0,0,36526.45484970543
538,27.0,0,37184.60727686312
539,58.0,2,63168.13467866413
540,65.0,1,55638.57355305317
541,45.0,0,51722.980935393476
542,58.0,2,62859.49858193384
543,65.0,2,61871.05366519799
544,26.0,0,35573.295390980995
545,40.0,0,50553.3206345011
546,38.0,0,49530.18260336959
547,24.0,0,31005.280414357778
548,54.0,2,62584.73332988174
549,40.0,0,50759.99850355765
550,41.0,2,59385.073653539584
551,27.0,1,38328.84658942185
552,28.0,0,37775.11036671507
553,61.0,2,62679.29215947534
554,22.0,0,28737.54301919979
555,30.0,2,46538.01477571591
556,33.0,0,44336.159025548324
557,42.0,1,55078.47466203996
558,46.0,0,52274.114554635
559,42.0,1,55448.70157920785
560,24.0,2,36517.07726084258
561,31.0,2,48184.16161051707
562,58.0,0,50338.457872106934
563,49.0,0,51890.997184430795
564,49.0,0,52251.79406402902
565,50.0,2,61927.82853761472
566,54.0,1,57423.84524405294
567,23.0,2,34537.779972197844
568,36.0,1,50422.39675333887
569,44.0,1,55790.16915729937
570,35.0,0,46281.14303084063
571,58.0,0,50676.64491365938
572,42.0,2,59800.42495344773
573,55.0,0,51869.36986962191
574,58.0,1,57866.7803120113
575,43.0,1,56254.22628334472
576,61.0,1,55495.84463297618
577,46.0,2,61067.085820958106
578,58.0,2,62366.67935377602
579,35.0,1,50146.77984299277
580,42.0,2,59389.574061520034
581,44.0,1,55712.74812920234
582,25.0,0,32639.78864451933
583,38.0,1,52427.2162199805
584,61.0,2,62089.49769989141
585,48.0,2,61779.104879316495
586,28.0,1,40254.29102667966
587,35.0,0,46739.51647213267
588,29.0,2,44939.66598945252
589,21.0,0,26816.991213084133
590,62.0,2,62339.4144063156
591,40.0,2,58276.63798017445
592,34.0,2,52278.02177373577
593,47.0,0,52846.77522959304
594,20.0,1,28145.758465371106
595,33.0,0,43084.67221335929
596,52.0,0,51840.564144912176
597,49.0,1,56903.038905891306
598,64.0,2,62028.45961809629
599,48.0,0,52872.64936389496
600,41.0,0,51700.96555214173
601,54.0,2,62985.502251867045
602,61.0,2,62520.31371149819
603,52.0,2,61923.19413802914
604,63.0,2,61780.521139211975
605,55.0,2,62530.360631576215
606,59.0,2,61899.44995157796
607,25.0,2,39043.13014738217
608,53.0,2,62902.56176070518
609,40.0,0,51076.66417471076
610,45.0,1,56475.01251358601
611,49.0,1,56425.510781698315
612,64.0,1,56438.34184798543
613,64.0,2,61285.70596854168
614,33.0,0,43893.896440032826
615,53.0,0,52205.49029495179
616,54.0,1,57304.3728422837
617,36.0,2,53071.69634738165
618,26.0,2,39074.40363669806
619,22.0,0,28974.84818961653
620,55.0,1,57257.37843300344
621,42.0,1,54955.52017313378
622,64.0,1,55826.43479402816
623,41.0,2,58565.69519520301
624,64.0,1,56010.94181698734
625,39.0,2,56783.18320759572
626,56.0,2,62540.2567289591
627,24.0,1,34269.39318516974
628,45.0,1,56829.272903005476
629,56.0,1,57011.795972914406
630,62.0,2,62039.291570190246
631,57.0,0,51276.5485372152
632,22.0,2,33917.156896070555
633,37.0,1,51818.827355326765
634,22.0,0,29421.849833796812
635,25.0,2,38112.698681256195
636,50.0,0,52114.00359168878
637,52.0,1,57630.33457741498
638,55.0,2,62057.098713839165
639,59.0,2,62501.344380539565
640,53.0,2,63218.80945616971
641,56.0,0,51367.35186755213
642,22.0,2,33373.759834178694
643,31.0,1,45698.41387318059
644,48.0,0,53079.03411925586
645,59.0,2,62750.58827918955
646,20.0,0,26553.44325639783
647,43.0,0,51340.258218718205
648,50.0,0,52766.64064455315
649,21.0,1,29845.601584333
650,38.0,2,55995.49259290547
651,60.0,1,57735.24737296707
652,50.0,2,61796.730966688345
653,31.0,2,47982.33068700121
654,58.0,2,62642.938342589085
655,36.0,0,46919.41684552291
656,58.0,0,50775.05582660754
657,33.0,0,44412.83937873669
658,47.0,1,56710.30868913059
659,38.0,2,56674.69789905344
660,32.0,0,43366.2191032629
661,60.0,1,56476.31039731414
662,28.0,0,38053.96136987007
663,24.0,1,35319.391750303315
664,35.0,2,53731.90425611684
665,52.0,1,57375.077216265025
666,56.0,0,50920.881899043656
667,65.0,1,55009.50257297419
668,33.0,2,51433.544302626666
669,38.0,2,56948.93416854698
670,26.0,1,38289.765726708436
671,46.0,2,60378.15782471221
672,65.0,1,56295.20708662206
673,52.0,2,62950.68871770472
674,47.0,2,61334.070890128285
675,38.0,2,56421.74372698833
676,61.0,2,62751.65775848241
677,42.0,1,54921.821431259195
678,26.0,2,41249.7652775069
679,36.0,1,51327.8644273986
680,23.0,1,32716.532343334547
681,29.0,1,42024.55966206015
682,21.0,0,27462.60690624056
683,40.0,2,59244.73828349108
684,49.0,1,57379.87843217377
685,35.0,1,50006.30916503407
686,39.0,2,57199.24381669694
687,63.0,0,49804.98371156229
688,54.0,0,51633.564336250536
689,44.0,2,60507.64646863641
690,33.0,1,48273.27467088813
691,60.0,1,56861.56337992539
692,31.0,1,45100.68974047161
693,35.0,2,53928.76901161934
694,61.0,1,56510.703606283525
695,44.0,1,56017.201890181714
696,53.0,0,51479.534780542584
697,47.0,1,56419.60300522869
698,49.0,1,56327.63921808271
699,33.0,2,51561.90941120387
700,31.0,2,47400.6308291846
701,35.0,2,52865.954738085806
702,27.0,1,39270.450592734334
703,59.0,0,50695.20006976492
704,33.0,0,43724.92803118293
705,45.0,1,57009.7929016033
706,56.0,2,63104.72117996821
707,55.0,2,62485.55429717269
708,40.0,2,58223.35592533977
709,41.0,2,59962.99716290695
710,65.0,0,48584.23890366953
711,50.0,0,51651.19206162971
712,57.0,1,57083.30194021339
713,61.0,0,50924.76637644198
714,55.0,2,62297.45741610306
715,28.0,1,41590.73599667723
716,45.0,0,51586.81554685977
717,25.0,0,33419.34439043621
718,49.0,1,57892.88876705109
719,63.0,0,49471.35011222354
720,43.0,0,50947.13985516449
721,39.0,1,53703.6230956487
722,22.0,2,33208.40464800221
723,63.0,1,55293.7460531831
724,25.0,0,33317.522606524995
725,22.0,1,31415.442474036383
726,31.0,2,48036.9460819914
727,23.0,1,32870.12349948931
728,40.0,1,55619.59745088572
729,43.0,2,59724.285976132145
730,34.0,0,44610.791903769226
731,22.0,1,31744.520722528894
732,25.0,1,36840.115625942
733,37.0,2,56568.601958757914
734,23.0,2,34823.575635103174
735,51.0,0,51860.23165548838
736,29.0,1,43460.33881879237
737,34.0,2,50477.21692348624
738,38.0,2,56406.59739469131
739,39.0,2,57474.96338931438
740,20.0,2,30350.272460374996
741,25.0,0,34427.48708906656
742,59.0,1,56146.295184192415
743,20.0,1,27743.58835554928
744,43.0,0,51144.827480616135
745,42.0,2,59562.99291003516
746,35.0,1,49796.85485730557
747,39.0,1,54183.24043620329
748,55.0,1,57084.34760939439
749,58.0,2,62978.63608263988
750,32.0,1,46644.83376095284
751,35.0,0,45656.409915952565
752,31.0,1,45061.78392842254
753,42.0,1,54844.81817645855
754,51.0,1,58218.236617590694
755,30.0,2,47573.50580893879
756,35.0,1,49439.53179395924
757,62.0,0,49982.33227364482
758,22.0,2,34058.54908871245
759,41.0,0,51496.09008030744
760,52.0,2,62947.7752650653
761,27.0,0,37068.69904402993
762,22.0,1,31680.00450027508
763,26.0,2,41575.836815855844
764,61.0,0,50624.748527077056
765,20.0,0,26266.27241066069
766,28.0,1,40776.34569331197
767,21.0,0,28101.01771983561
768,25.0,0,34414.11709488391
769,48.0,2,61379.719699329566
770,31.0,2,48089.73239564191
771,46.0,2,61047.699248944045
772,47.0,2,61766.64057448209
773,58.0,1,56483.635227204344
774,20.0,1,27521.51138238126
775,58.0,2,62785.001075611865
776,48.0,1,56593.39621278465
777,27.0,0,36156.650740189485
778,55.0,0,52463.74946899637
779,58.0,1,57113.803393011134
780,31.0,2,49671.92201543308
781,61.0,1,56667.86324838363
782,40.0,1,55452.82855170613
783,47.0,0,52257.8828834601
784,64.0,2,61976.06295793946
785,36.0,2,54779.00153746931
786,57.0,0,50904.94964543193
787,34.0,1,48226.141746269146
788,56.0,1,56737.426241452755
789,47.0,0,52700.70009799853
790,30.0,1,42970.20650326151
791,39.0,0,49022.915895115584
792,34.0,1,49018.61848235271
793,24.0,0,31280.947924419015
794,21.0,1,30319.341151559725
795,36.0,2,54204.77610792749
796,21.0,0,27309.053623083422
797,27.0,0,36939.40254439126
798,53.0,2,63141.4669042643
799,52.0,2,62871.061341301756
800,53.0,2,62513.41392709479
801,34.0,0,45261.101293899825
802,60.0,0,50671.73359864961
803,47.0,2,61196.8392813189
804,26.0,1,36402.58807911048
805,26.0,2,41487.31181562922
806,51.0,0,52607.51266756828
807,28.0,0,36597.10015566213
808,43.0,0,51679.56380700741
809,65.0,0,49989.28634440726
810,20.0,2,29348.413200236
811,21.0,2,30994.51227899277
812,65.0,1,55471.24760555841
813,46.0,0,52776.51809759106
814,26.0,0,35269.86523963368
815,60.0,0,49947.21223006352
816,60.0,2,62671.05926167926
817,44.0,2,61596.49257264292
818,48.0,1,56682.80638636294
819,32.0,2,49746.531449217655
820,22.0,2,34308.56218440782
821,47.0,2,61059.412565171486
822,33.0,0,45145.585236620704
823,50.0,2,62215.69733475878
824,58.0,2,61805.4824354379
825,21.0,1,28827.630496861173
826,47.0,1,57028.290008307515
827,30.0,2,47090.06208021289
828,59.0,1,56718.60145386644
829,31.0,1,45837.66829488134
830,47.0,2,61015.162577418014
831,45.0,2,60436.417122614264
832,38.0,0,49001.977932435235
833,50.0,2,62851.20608000176
834,53.0,0,51698.68127767728
835,46.0,1,56453.93635246711
836,54.0,0,51532.23174046433
837,64.0,2,62438.54824343208
838,39.0,2,57900.415736226285
839,43.0,1,55602.31782611439
840,21.0,1,28848.48216718615
841,56.0,1,56711.57231070695
842,43.0,0,51740.2339297387
843,38.0,1,53429.73807552027
844,24.0,2,38574.253829322275
845,60.0,0,50321.50718633008
846,38.0,1,52482.224138525795
847,51.0,0,52033.14981592095
848,27.0,0,35675.615804736684
849,63.0,2,61944.796420269144
850,28.0,1,41246.027889383025
851,29.0,1,42769.77459842205
852,59.0,1,56782.41704983395
853,61.0,2,62245.49521109636
854,30.0,0,40088.37473690582
855,41.0,1,54826.8447367358
856,53.0,0,51620.10205845303
857,60.0,2,61852.435970433864
858,37.0,2,56147.77468795232
859,43.0,2,61061.63266103953
860,53.0,0,50856.620928572425
861,53.0,0,52064.40802905015
862,55.0,1,57113.02539256064
863,46.0,1,56516.15985451223
864,25.0,2,37883.09343308496
865,61.0,2,62943.37717042667
866,59.0,1,56810.16222384466
867,56.0,0,51834.18395461692
868,24.0,0,32555.50083623508
869,29.0,1,42051.756310245124
870,53.0,0,52025.04947882214
871,21.0,0,26925.291259202146
872,64.0,0,49807.76724786866
